Year,Jurisdiction,Category,Management,Fate,Tonnes,Core or non-core,Jurisdiction_State
2020-2021,ACT,Biosolids,Other disposal,Disposal,20185.54974,Core waste,Australian Capital Territory
2020-2021,ACT,Biosolids,Recycling,Recycling,0,Core waste,Australian Capital Territory
2020-2021,ACT,Building and demolition materials,Landfill,Disposal,112667.1708,Core waste,Australian Capital Territory
2020-2021,ACT,Building and demolition materials,Recycling,Recycling,272286.8692,Core waste,Australian Capital Territory
2020-2021,ACT,Building and demolition materials,Waste reuse,Waste reuse,133987.09,Core waste,Australian Capital Territory
2020-2021,ACT,Glass,Landfill,Disposal,7170.70259,Core waste,Australian Capital Territory
2020-2021,ACT,Glass,Recycling,Recycling,18383.44485,Core waste,Australian Capital Territory
2020-2021,ACT,Hazardous wastes,Energy from waste facility,Energy recovery,2801.198415,Core waste,Australian Capital Territory
2020-2021,ACT,Hazardous wastes,Landfill,Disposal,21316.74683,Core waste,Australian Capital Territory
2020-2021,ACT,Hazardous wastes,Other disposal,Disposal,204.1495293,Core waste,Australian Capital Territory
2020-2021,ACT,Hazardous wastes,Recycling,Recycling,6809.621137,Core waste,Australian Capital Territory
2020-2021,ACT,Hazardous wastes,Treatment,Disposal,896.4146459,Core waste,Australian Capital Territory
2020-2021,ACT,Hazardous wastes,Treatment,Energy recovery,148.8701907,Core waste,Australian Capital Territory
2020-2021,ACT,Hazardous wastes,Treatment,Recycling,1332.967586,Core waste,Australian Capital Territory
2020-2021,ACT,Metals,Landfill,Disposal,6891.509327,Core waste,Australian Capital Territory
2020-2021,ACT,Metals,Recycling,Recycling,51370.63876,Core waste,Australian Capital Territory
2020-2021,ACT,Organics,Energy from waste facility,Energy recovery,0,Core waste,Australian Capital Territory
2020-2021,ACT,Organics,Landfill,Disposal,81005.18116,Core waste,Australian Capital Territory
2020-2021,ACT,Organics,Landfill,Energy recovery,35744.20957,Core waste,Australian Capital Territory
2020-2021,ACT,Organics,Recycling,Recycling,145858.9514,Core waste,Australian Capital Territory
2020-2021,ACT,Paper & cardboard,Energy from waste facility,Energy recovery,0,Core waste,Australian Capital Territory
2020-2021,ACT,Paper & cardboard,Landfill,Disposal,26718.99683,Core waste,Australian Capital Territory
2020-2021,ACT,Paper & cardboard,Landfill,Energy recovery,10472.51845,Core waste,Australian Capital Territory
2020-2021,ACT,Paper & cardboard,Recycling,Recycling,22314.22221,Core waste,Australian Capital Territory
2020-2021,ACT,Plastics,Landfill,Disposal,24398.30894,Core waste,Australian Capital Territory
2020-2021,ACT,Plastics,Recycling,Recycling,4916.489275,Core waste,Australian Capital Territory
2020-2021,ACT,"Textiles, leather & rubber (excl. tyres)",Energy from waste facility,Energy recovery,0,Core waste,Australian Capital Territory
2020-2021,ACT,"Textiles, leather & rubber (excl. tyres)",Landfill,Disposal,10270.55412,Core waste,Australian Capital Territory
